827679:14025217|0,0,4,1,0,0,1,4,2,0,0,0,16,8,6,0,4,13,24,7,0,0,1,3,6
827679:15632625|0,0,2,0,0,0,0,0,0,1,0,0,15,6,5,0,1,4,25,5,0,0,3,4,6
827679:15632623|1,1,3,0,0,0,1,0,1,0,0,1,8,8,3,0,0,4,25,1,3,0,4,8,6
827679:15197271|0,1,2,0,0,0,0,0,3,0,0,1,14,5,4,0,0,14,21,10,0,1,7,14,4
827679:14572642|0,0,0,0,0,0,1,0,1,1,0,0,11,13,3,0,1,7,23,16,0,0,11,10,9
827679:14025210|0,0,1,0,0,0,0,5,1,0,0,0,15,11,1,0,1,9,25,5,0,1,0,14,7
827679:14025254|0,0,0,0,0,0,0,5,3,0,0,0,9,23,1,0,1,7,17,2,0,0,9,10,6
827679:14025257|0,0,2,0,0,0,0,0,0,0,0,0,7,5,1,0,2,3,22,5,0,1,17,20,7
827679:14025216|0,0,0,0,0,0,1,0,1,0,0,0,2,7,4,0,0,5,9,3,0,0,7,8,3
827679:14572748|0,0,0,0,0,0,0,0,0,1,0,0,7,12,7,0,0,6,39,4,0,0,2,7,8
827679:14025276|0,0,0,1,1,0,0,4,10,5,0,0,12,29,5,0,0,2,23,7,1,0,1,2,6
827679:14598940|0,1,0,1,0,0,0,0,1,0,0,1,13,9,3,0,4,14,14,5,0,3,10,6,0
827679:14025249|0,0,1,1,0,0,0,1,3,1,0,2,7,9,1,0,1,2,8,7,0,0,6,8,7
96538:14023928|7,2,0,1,0,12,1,0,1,0,8,0,0,0,0,10,5,0,0,0,6,7,1,0,0
96538:15632626|5,5,0,0,0,4,0,0,0,0,11,0,0,0,0,20,1,0,0,0,6,0,1,0,0
96538:14025016|8,0,0,0,1,9,1,1,0,0,4,0,2,0,0,12,9,0,0,0,9,5,1,0,0
96538:14025281|2,0,0,0,1,6,1,1,0,0,7,1,0,0,0,15,1,0,0,0,6,5,1,0,0
96538:14025254|4,2,0,0,2,10,0,0,0,0,6,1,0,0,0,12,4,0,0,0,8,6,4,0,0
96538:14025078|3,0,0,0,1,10,0,0,0,0,7,0,0,0,0,8,3,1,0,0,1,1,0,0,0
96538:14023979|7,0,0,0,1,10,2,0,0,0,7,3,1,0,0,15,0,0,0,0,2,1,0,0,0
96538:14024004|12,2,0,0,5,7,0,1,0,0,8,1,0,0,0,9,5,1,0,0,1,0,1,0,0
96538:14025068|10,4,0,0,1,13,3,0,0,0,7,2,1,0,0,5,4,1,0,0,4,0,0,0,0
96538:14025058|11,4,0,0,0,9,2,0,0,0,11,2,1,0,0,20,4,0,0,0,7,4,2,0,0
96538:14025257|8,3,0,1,2,11,0,0,0,0,10,0,1,0,0,9,1,0,0,0,7,1,0,0,0
96538:15632625|2,0,0,0,0,9,0,0,0,0,8,0,0,0,0,8,3,0,0,0,4,2,0,0,0
96538:14025014|7,0,0,0,5,13,2,0,0,0,12,0,0,0,0,23,0,0,0,0,0,1,0,0,0
96538:15632623|8,6,0,0,0,9,7,1,0,0,6,0,0,0,0,10,1,0,0,0,0,3,3,0,0
96538:14023994|9,2,0,0,0,16,1,0,0,0,8,0,0,0,0,13,3,0,0,0,5,2,6,0,0
96538:14025093|9,1,0,0,5,10,1,0,1,0,14,1,2,0,0,12,6,0,0,0,4,4,0,0,0
96538:14572748|9,5,0,0,2,19,0,0,0,0,16,0,0,0,0,21,2,0,0,0,6,1,2,0,0
96538:14024014|12,5,2,0,3,16,0,3,1,0,12,2,0,0,0,13,0,0,0,0,9,5,3,0,0
96538:15632617|5,0,0,0,0,8,0,0,0,0,7,2,0,0,0,11,6,1,0,0,8,5,5,0,0
96538:14025136|12,4,0,0,1,9,1,1,0,0,10,1,0,0,0,16,6,1,0,0,14,3,1,0,0
96538:14025249|8,2,0,0,2,9,0,0,0,0,7,1,0,0,0,22,2,0,0,0,3,0,2,0,0
96538:15632621|5,0,1,0,0,5,6,0,0,0,13,1,0,0,0,7,2,0,0,0,6,3,3,0,0
96538:14572676|8,4,0,0,2,20,1,0,1,1,18,3,2,0,0,20,8,3,0,0,6,2,1,0,0
96538:15631836|4,1,0,1,2,11,1,0,0,0,12,1,0,0,0,10,0,1,0,0,12,7,1,0,0
96538:14025155|5,2,0,0,0,12,1,0,0,0,12,2,0,0,0,29,0,0,0,0,11,12,1,0,0
96538:14025217|11,2,1,0,3,14,1,0,0,0,14,3,0,0,0,15,6,0,0,0,7,4,0,0,0
